监测点编码	监测点名称	城市	经度（原）	纬度（原）	bdx	bdy
1430A	南泉	重庆	106.591	29.4272	106.601223	29.430178
1431A	金泉两河	成都	103.97275	30.72358333	103.981557	30.726653
1432A	十里店	成都	104.176	30.6872	104.184884	30.690894
1433A	三瓦窑	成都	104.079	30.5706	104.088062	30.57398
1434A	沙河铺	成都	104.1113889	30.63	104.120521	30.633364
1435A	梁家巷	成都	104.074	30.685	104.083041	30.688496
1436A	草堂寺	成都	104.026	30.6544	104.034837	30.658153
1437A	君平街	成都	104.054	30.6578	104.062932	30.661567
1438A	灵岩寺	成都	103.613	31.0283	103.621612	31.031431
1439A	马鞍山	贵阳	106.6856	26.6029	106.695724	26.605613
1440A	市环保站	贵阳	106.6971	26.5689	106.707316	26.57151
1441A	鉴湖路	贵阳	106.6243	26.6266	106.63442	26.628632
1442A	燕子冲	贵阳	106.7487	26.6343	106.759084	26.636545
1443A	碧云窝	贵阳	106.6554	26.4364	106.665504	26.438964
1444A	中院村	贵阳	106.6948	26.5155	106.704977	26.518144
1445A	红边门	贵阳	106.7105	26.6009	106.720774	26.6033
1446A	新华路	贵阳	106.7164	26.5697	106.726735	26.572027
1447A	太慈桥	贵阳	106.6867	26.5495	106.696862	26.552222
1449A	关上	昆明	102.743	25.0124	102.750976	25.015544
1450A	呈贡新区	昆明	102.821	24.8885	102.828907	24.891649
1451A	西山森林公园	昆明	102.625	24.9624	102.632735	24.965337
1452A	龙泉镇	昆明	102.728	25.0836	102.735908	25.086924
1453A	东风东路	昆明	102.722	25.0405	102.729874	25.043842
1454A	金鼎山	昆明	102.681	25.067	102.688892	25.06986
1455A	碧鸡广场	昆明	102.638	25.0359	102.645798	25.038656
1456A	八廓街	拉萨	91.1319	29.6514	91.14004	29.654427
1457A	市环保局	拉萨	91.1221	29.6747	91.130238	29.677825
1458A	区监测站	拉萨	91.0874	29.6475	91.095395	29.651047
1459A	西藏大学	拉萨	91.1774	29.6541	91.185332	29.657431
1460A	区辐射站	拉萨	90.9798	29.6588	90.98756	29.661987
1461A	拉萨火车站	拉萨	91.0834	29.6292	91.091368	29.632754
1462A	高压开关厂	西安	108.882	34.2749	108.893157	34.279041
1463A	兴庆小区	西安	108.993	34.2629	109.004389	34.267316
1464A	纺织城	西安	109.06	34.2572	109.071535	34.262154
1465A	小寨	西安	108.94	34.2324	108.951101	34.237035
1466A	市人民体育场	西安	108.954	34.2713	108.965086	34.276068
1467A	高新西区	西安	108.883	34.2303	108.894188	34.234422
1468A	经开区	西安	108.935	34.3474	108.946118	34.352008
1469A	长安区	西安	108.906	34.1546	108.917161	34.158663
1470A	阎良区	西安	109.2	34.6575	109.211481	34.662681
1471A	临潼区	西安	109.2186	34.3731	109.230129	34.377851
1472A	草滩	西安	108.869	34.378	108.88013	34.382396
1473A	曲江文化产业集团	西安	108.985	34.1978	108.996305	34.202301
1474A	广运潭	西安	109.043	34.3274	109.054574	34.332085
1475A	职工医院	兰州	103.712	36.0756	103.720988	36.081281
1476A	兰炼宾馆	兰州	103.631	36.1031	103.639851	36.108481
1477A	榆中兰大校区	兰州	104.148	35.94	104.157177	35.946176
1478A	生物制品所	兰州	103.841	36.0725	103.849954	36.077962
1479A	铁路设计院	兰州	103.831	36.0464	103.839946	36.052029
1480A	市环境监测站	西宁	101.748	36.6428	101.756384	36.649021
1481A	省医药仓库	西宁	101.749	36.6922	101.757349	36.698446
1482A	四陆医院	西宁	101.834	36.5819	101.842368	36.587502
1483A	第五水厂	西宁	101.524	36.6867	101.53227	36.692886
1484A	贺兰山马莲口	银川	105.9512	38.6016	105.961743	38.608247
1485A	银湖巷	银川	106.2682	38.4744	106.279191	38.480606
1486A	宁安大街	银川	106.217	38.4536	106.22787	38.460213
1487A	宁化生活区	银川	106.0715	38.4858	106.082442	38.492728
1488A	贺兰山东路	银川	106.2328	38.4975	106.243729	38.503841
1489A	学院路	银川	106.1358	38.5036	106.146975	38.509891
1490A	监测站	乌鲁木齐	87.5801	43.8303	87.589391	43.837679
1491A	收费所	乌鲁木齐	87.6046	43.768	87.613805	43.775469
1492A	新疆农科院农场	乌鲁木齐	87.4754	43.9469	87.484982	43.954552
1493A	铁路局	乌鲁木齐	87.5525	43.8711	87.56199	43.878132
1494A	三十一中学	乌鲁木齐	87.6432	43.831	87.652714	43.838052
1495A	七十四中学	乌鲁木齐	87.4171	43.8729	87.427043	43.880165
1496A	米东区环保局	乌鲁木齐	87.6444	43.962	87.653925	43.96896
1508A	板塘	湘潭	112.9433	27.8614	112.955246	27.863975
1511A	市监测站	湘潭	112.9118	27.8403	112.923598	27.84315
1512A	江麓	湘潭	112.8937	27.8728	112.905561	27.875469
1513A	岳塘	湘潭	112.9227	27.8159	112.934499	27.818731
1514A	科大	湘潭	112.9074	27.9119	112.9192	27.914715
1515A	天台山庄	株洲	113.135	27.8244	113.147271	27.827441
1518A	株冶医院	株洲	113.095	27.8867	113.107456	27.889243
1519A	市四中	株洲	113.167	27.8667	113.179234	27.869772
1520A	火车站	株洲	113.143	27.8381	113.155247	27.84123
1524A	市监测站	株洲	113.13	27.8528	113.142325	27.855768
1552A	桐木岭	贵阳	106.805	26.3003	106.815237	26.303137
1559A	大京风景区	株洲	113.251	27.8336	113.263137	27.836418
1562A	昭山	湘潭	113.0048	27.9153	113.016929	27.918007
1564A	韶山	湘潭	112.4876	27.9164	112.499708	27.918799
1585A	市环境监测站	包头	109.8756	40.6532	109.887775	40.660144
1586A	包百大楼	包头	109.8104	40.6575	109.822585	40.66492
1587A	东河城环局	包头	110.0067	40.5905	110.019084	40.597804
1588A	青山宾馆	包头	109.8538	40.6821	109.866107	40.688917
1589A	惠龙物流	包头	109.8654	40.6288	109.877646	40.635614
1590A	东河鸿龙湾	包头	110.0377	40.5546	110.050067	40.562242
1591A	综合楼	鄂尔多斯	110.0023	39.8129	110.014569	39.81994
1592A	巴音孟克林场办事处	鄂尔多斯	109.9486	39.8261	109.960704	39.83296
1593A	康泽苑	鄂尔多斯	109.7736	39.5986	109.785771	39.605782
1594A	华泰汽车城	鄂尔多斯	109.8119	39.5989	109.823987	39.606074
1595A	奥林花园	鄂尔多斯	109.9734	39.7884	109.985673	39.79506
1596A	学府南路	营口	122.2414	40.6592	122.253077	40.666691
1597A	大庆路	营口	122.2703	40.7094	122.281882	40.717367
1598A	镜湖西路	营口	122.215	40.6511	122.226807	40.658304
1599A	西炮台	营口	122.1658	40.6789	122.177528	40.686884
1600A	江湾东路	丹东	124.3303	40.0625	124.342437	40.070254
1601A	临江后街	丹东	124.4256	40.1503	124.437812	40.158226
1602A	元宝山	丹东	124.3933	40.1461	124.405704	40.1535
1603A	民主桥	丹东	124.3678	40.1194	124.380246	40.126631
1604A	开发区	盘锦	122.0247	41.1556	122.036484	41.163945
1605A	兴隆台	盘锦	122.0539	41.0903	122.065808	41.098541
1606A	新生街道	盘锦	121.835	41.1042	121.846785	41.111814
1607A	龙港区	葫芦岛	120.9092	40.7136	120.920902	40.720724
1608A	化工街	葫芦岛	120.8392	40.7514	120.850749	40.759228
1609A	新区	葫芦岛	120.8478	40.715	120.859379	40.722725
1610A	东城区	葫芦岛	120.8631	40.7736	120.874703	40.781084
1611A	涂山街	泉州	118.5819	24.9117	118.592835	24.914773
1612A	津头埔	泉州	118.5972	24.8978	118.608197	24.900597
1613A	万安	泉州	118.6663	24.9424	118.677253	24.9458
1614A	清源山	泉州	118.6108	24.9617	118.621828	24.964367
1615A	植物油厂	莱芜	117.685	36.205	117.697379	36.211026
1616A	技术学院	莱芜	117.6789	36.2289	117.691311	36.234811
1617A	日升国际	莱芜	117.715	36.2081	117.727327	36.21451
1618A	沂河小区	临沂	118.3418	35.0573	118.35403	35.062884
1619A	鲁南制药厂	临沂	118.2939	35.0622	118.306011	35.067828
1620A	新光毛纺厂	临沂	118.2764	34.9817	118.288558	34.986897
1621A	河东保险公司	临沂	118.4023	35.0896	118.414613	35.095204
1622A	儿童乐园	德州	116.3061	37.4664	116.318431	37.473157
1623A	黑马集团	德州	116.2729	37.4504	116.28505	37.457488
1624A	监理站	德州	116.3189	37.4489	116.331313	37.455464
1625A	区政府	聊城	115.9848	36.4372	115.99706	36.442981
1626A	二轻机	聊城	115.9968	36.4568	116.009046	36.462788
1627A	党校	聊城	115.9835	36.4796	115.995779	36.485388
1628A	市环保局	滨州	118.0062	37.3803	118.018823	37.386732
1629A	第二水厂	滨州	118.0018	37.3617	118.014409	37.368157
1630A	北中新校	滨州	117.9776	37.393	117.98998	37.39979
1631A	人民公园	淄博	118.0482	36.8088	118.060729	36.815384
1632A	东风化工厂	淄博	118.0448	36.838	118.057362	36.84454
1633A	双山	淄博	117.8477	36.497	117.85994	36.503333
1634A	气象站	淄博	117.9544	36.6377	117.96659	36.644202
1635A	莆田园	淄博	118.3092	36.8198	118.321437	36.826591
1636A	三金集团	淄博	117.8512	36.8041	117.863446	36.810554
1637A	市中区政府	枣庄	117.5564	34.864	117.568617	34.868895
1638A	薛城环保局	枣庄	117.2852	34.7837	117.297599	34.788499
1639A	峄城区政府	枣庄	117.5852	34.7745	117.597214	34.779717
1640A	台儿庄区环保局	枣庄	117.732	34.5667	117.744235	34.57181
1641A	山亭区环保局	枣庄	117.4518	35.0992	117.464292	35.104916
1642A	开发区	烟台	121.2514	37.5639	121.263053	37.570397
1643A	轴承厂	烟台	121.3719	37.5433	121.383754	37.549955
1644A	西郊化工站	烟台	121.3181	37.5436	121.329613	37.550881
1645A	莱山环保局	烟台	121.4478	37.4822	121.459442	37.489468
1646A	福山环保局	烟台	121.2611	37.4967	121.272744	37.503199
1647A	牟平环保局	烟台	121.5953	37.3872	121.606629	37.393644
1648A	仲裁委	潍坊	119.12	36.7019	119.13247	36.708326
1649A	刘家园	潍坊	119.0919	36.7306	119.104495	36.736781
1650A	环保局	潍坊	119.1425	36.7008	119.154822	36.707566
1651A	共达公司	潍坊	119.1614	36.6572	119.173683	36.66395
1652A	寒亭监测站	潍坊	119.1939	36.7731	119.206282	36.779361
1653A	火炬城	济宁	116.6305	35.428	116.642247	35.433934
1654A	监测站	济宁	116.5856	35.4144	116.597499	35.419666
1655A	电化厂	济宁	116.5546	35.4039	116.566492	35.409313
1656A	监测站	泰安	117.1436	36.1942	117.156142	36.200418
1657A	人口学校	泰安	117.0881	36.1942	117.100636	36.200525
1658A	电力学校	泰安	117.1081	36.1758	117.120583	36.182385
1659A	监测站	日照	119.4641	35.4178	119.47639	35.423389
1660A	市政府广场	日照	119.5198	35.4234	119.531677	35.429492
1661A	港务局	日照	119.54	35.3962	119.551855	35.401951
1662A	华夏技校	威海	122.1206	37.4294	122.132169	37.436329
1663A	山大分校	威海	122.0508	37.5325	122.062246	37.539742
1664A	市监测站	威海	122.1067	37.5072	122.118361	37.513943
1665A	西城阳光环保公司	东营	118.5019	37.4658	118.514319	37.47225
1666A	市环保局	东营	118.6672	37.4314	118.679242	37.438396
1667A	耿井村	东营	118.5857	37.4442	118.597774	37.450769
1668A	广南水库	东营	118.8192	37.3781	118.83136	37.384872
1669A	市八中	韶关	113.586606	24.769519	113.598378	24.772186
1670A	碧湖山庄	韶关	113.5593889	24.81119444	113.571166	24.81393
1671A	园林处	韶关	113.598061	24.795928	113.609768	24.798749
1672A	韶关学院	韶关	113.6734722	24.77908333	113.68527	24.781969
1673A	曲江监测站	韶关	113.5970833	24.68636111	113.60878	24.689158
1674A	金平子站	汕头	116.6794	23.3667	116.690395	23.369809
1675A	龙湖子站	汕头	116.7244	23.3633	116.735442	23.36669
1676A	濠江子站	汕头	116.7258	23.2775	116.736846	23.280898
1677A	澄海子站	汕头	116.7519	23.4714	116.762908	23.475183
1678A	潮阳子站	汕头	116.6092	23.2539	116.619998	23.257173
1679A	潮南子站	汕头	116.4019	23.2536	116.413026	23.257504
1680A	湛江影剧院	湛江	110.3539	21.2706	110.364946	21.274028
1681A	市环境监测站	湛江	110.3928	21.2228	110.403764	21.226781
1682A	环保局宿舍	湛江	110.4019	21.1997	110.412872	21.203668
1683A	霞山游泳场	湛江	110.4111	21.2028	110.422088	21.206679
1684A	麻章区环保局	湛江	110.3316	21.2679	110.342624	21.271153
1685A	坡头区环保局	湛江	110.4558	21.2567	110.466879	21.259966
1686A	市环保局茂港分局	茂名	111.0286	21.4689	111.039966	21.472376
1687A	茂石化七小	茂名	110.9294	21.6533	110.940495	21.656222
1688A	健康路	茂名	110.9067	21.6669	110.917689	21.670094
1689A	高岭	茂名	110.8592	21.6828	110.870128	21.686259
1690A	嘉应大学	梅州	116.1278	24.3289	116.139096	24.332302
1691A	梅县新城	梅州	116.0797	24.2719	116.091121	24.275051
1692A	环境监控中心	梅州	116.1248	24.2654	116.136145	24.268779
1693A	市环保局	汕尾	115.3653	22.775	115.376772	22.778048
1694A	市政府	汕尾	115.3706	22.7898	115.382095	22.792826
1695A	新城中学	汕尾	115.3622	22.7925	115.373672	22.795583
1696A	源西	河源	114.6778	23.7569	114.688985	23.760077
1697A	东埔	河源	114.6944	23.7586	114.705559	23.762097
1698A	老城	河源	114.6892	23.7233	114.700352	23.726706
1699A	鸳鸯湖	阳江	111.9786	21.8586	111.990163	21.861975
1700A	南恩路	阳江	111.9508	21.8536	111.962246	21.857125
1701A	马南垌	阳江	111.9494	21.865	111.960852	21.868512
1702A	环保大楼	清远	113.0425	23.6936	113.054397	23.697426
1703A	凤城街办	清远	113.0208	23.7106	113.032625	23.714306
1704A	高新区	清远	113.0622	23.6272	113.074174	23.630801
1705A	西园路	潮州	116.6339	23.6714	116.644736	23.675022
1706A	档案局	潮州	116.6447	23.6706	116.655564	23.6742
1707A	市政公司	潮州	116.6175	23.6531	116.628332	23.65656
1708A	新兴	揭阳	116.3697	23.5353	116.380905	23.538986
1709A	西马	揭阳	116.3242	23.5486	116.33541	23.551839
1710A	东兴	揭阳	116.3594	23.5739	116.370627	23.577383
1711A	渔湖	揭阳	116.4094	23.5292	116.420582	23.533083
1712A	新市府	云浮	112.0392	22.9169	112.051026	22.920139
1713A	市监测站	云浮	112.0369	22.9394	112.048751	22.942609
1714A	牧羊	云浮	112.0539	22.9539	112.065734	22.957443
1715A	东风水库	玉溪	102.5778	24.3694	102.585486	24.372427
1716A	市监测站	玉溪	102.5433	24.3603	102.551133	24.362945
1717A	大营街镇	玉溪	102.4964	24.3411	102.504237	24.34436
1718A	市气象局	菏泽	115.42277	35.248889	115.435165	35.254912
1719A	市政协	菏泽	115.474722	35.2375	115.487137	35.242942
1720A	菏泽学院	菏泽	115.455	35.27	115.467382	35.275866
1721A	果树场	大同	113.3819	40.1097	113.395517	40.117334
1722A	红旗广场	大同	113.2858	40.0958	113.299218	40.103256
1723A	云冈宾馆	大同	113.2994	40.0758	113.312896	40.083065
1724A	大同大学	大同	113.3444	40.0917	113.358142	40.098711
1725A	安家小村	大同	113.2661	40.1269	113.279474	40.13439
1726A	教育学院	大同	113.2711	40.0844	113.284461	40.091909
1727A	清华站	长治	113.1097	36.1542	113.122958	36.160149
1728A	监测站	长治	113.0972	36.1939	113.110467	36.199741
1729A	澳瑞特	长治	113.1466	36.1961	113.159615	36.202548
1730A	审计局	长治	113.0886	36.2126	113.101857	36.218445
1731A	长治八中	长治	113.0844444	36.1855	113.097699	36.191366
1732A	市监测站	临汾	111.5125	36.0978	111.525275	36.103548
1733A	临钢医院	临汾	111.5531	36.0783	111.565774	36.083912
1734A	技工学校	临汾	111.5028	36.0714	111.515558	36.077338
1735A	工商学校	临汾	111.5169	36.0822	111.529681	36.087868
1736A	市委	临汾	111.5025	36.0875	111.515251	36.093445
1737A	南机场	临汾	111.4917	36.0417	111.504459	36.047853
1738A	市中心	阳泉	113.5753	37.8564	113.588331	37.862573
1739A	赛鱼	阳泉	113.4922	37.8792	113.505327	37.88605
1740A	南庄	阳泉	113.5922	37.8561	113.605162	37.862411
1741A	白羊墅	阳泉	113.6292	37.8531	113.641997	37.859956
1742A	平坦	阳泉	113.5689	37.8694	113.58193	37.875583
1743A	大阳泉	阳泉	113.5158	37.85	113.528791	37.856979
1744A	松山一中	赤峰	118.9233	42.2814	118.935896	42.289663
1745A	哈达街	赤峰	118.9572	42.2725	118.970074	42.280277
1746A	天义路	赤峰	118.8789	42.2556	118.891631	42.26346
1747A	松山路	赤峰	119.2719	42.0317	119.284723	42.040224
1748A	深沟寺	鞍山	123.044	41.1196	123.056319	41.12735
1749A	太阳城	鞍山	123.011	41.0931	123.023009	41.101302
1750A	太平	鞍山	123.0485	41.1442	123.060856	41.151946
1751A	铁西三道街	鞍山	122.9642	41.0971	122.976071	41.104921
1752A	铁西工业园区	鞍山	122.9481	41.0833	122.960012	41.090804
1753A	明达新区	鞍山	123.0156	41.0831	123.027662	41.091235
1754A	千山	鞍山	123.1289	41.0228	123.141142	41.031097
1755A	望花区	抚顺	123.81	41.8469	123.822331	41.855222
1756A	顺城区	抚顺	123.9169	41.8828	123.929163	41.890759
1757A	东洲区	抚顺	124.0383	41.8625	124.050882	41.870777
1758A	新抚区	抚顺	123.9	41.8594	123.912309	41.867133
1759A	大伙房水库	抚顺	124.0878	41.8864	124.100362	41.895145
1760A	沈抚新城	抚顺	123.7117	41.8417	123.724	41.85031
1761A	大峪	本溪	123.8436	41.3283	123.855728	41.336633
1762A	溪湖	本溪	123.7528	41.3369	123.765261	41.344864
1763A	彩屯	本溪	123.7308	41.3047	123.743133	41.313044
1764A	东明	本溪	123.7669	41.2864	123.779414	41.294147
1765A	新立屯	本溪	123.7989	41.2692	123.811261	41.277138
1766A	威宁	本溪	123.8142	41.3472	123.826438	41.35545
1767A	南山	锦州	121.0986	41.0781	121.110743	41.086268
1768A	开发区	锦州	121.045	40.8333	121.057054	40.841103
1769A	百股街道	锦州	121.2008	41.1219	121.212667	41.13019
1770A	天安街道	锦州	121.1178	41.1222	121.130024	41.130043
1771A	北湖公园	锦州	121.1303	41.1386	121.142554	41.146324
1772A	哈达湾	吉林	126.555	43.8875	126.567231	43.895535
1773A	东局子	吉林	126.5844	43.8358	126.596433	43.844348
1774A	电力学院	吉林	126.4978	43.8228	126.510167	43.831334
1775A	江北	吉林	126.5786	43.8947	126.590637	43.903135
1776A	江南公园	吉林	126.55	43.8256	126.562301	43.833611
1777A	农科院	吉林				
1778A	丰满	吉林	126.6772	43.7256	126.689516	43.733834
1779A	安居小区	齐齐哈尔	123.9305	47.3636	123.943503	47.371787
1780A	中心广场	齐齐哈尔	123.9305	47.3386	123.943516	47.346786
1781A	农牧车辆厂	齐齐哈尔	123.9483	47.3227	123.96128	47.33114
1782A	富区环保局	齐齐哈尔	123.6261	47.203	123.63921	47.210942
1783A	市环境监测站	齐齐哈尔	123.945	47.2988	123.957979	47.307204
1784A	环保大楼　	牡丹江	129.61	44.561	129.623479	44.569196
1785A	文化广场　	牡丹江	129.6115	44.5782	129.624977	44.586365
1786A	第一医院	牡丹江	129.5902	44.5952	129.603598	44.60352
1787A	机车工厂	牡丹江	129.6459	44.6104	129.659629	44.618013
1788A	第一中学	牡丹江	129.6386	44.5462	129.652311	44.553901
1789A	大同区	大庆	124.8354	46.0347	124.848382	46.042333
1790A	龙凤区	大庆	125.112	46.528	125.125604	46.535882
1791A	红岗区	大庆	124.8847	46.3991	124.897575	46.406832
1792A	萨尔图区	大庆	125.1386	46.5776	125.15204	46.585954
1793A	让胡路区	大庆	124.8648	46.6219	124.877871	46.629356
1794A	监测站	芜湖	118.3528	31.3508	118.36474	31.354783
1795A	科创中心	芜湖	118.37	31.4189	118.381985	31.422721
1796A	四水厂	芜湖	118.3708	31.3178	118.382791	31.321591
1797A	五七二零厂	芜湖	118.4022	31.3839	118.414132	31.388038
1798A	湖东路四小	马鞍山	118.5058	31.6861	118.517573	31.689818
1799A	天平服装	马鞍山	118.4828	31.6411	118.494631	31.644892
1800A	慈湖二小	马鞍山	118.5106	31.7506	118.522334	31.754351
1801A	马钢动力厂	马鞍山	118.48	31.6928	118.491863	31.696638
1802A	市教育基地	马鞍山	118.6439	31.7133	118.655453	31.717173
1803A	十里	九江	115.9872	29.6816	115.998843	29.684743
1804A	茅山头	九江	115.9581	29.7048	115.969633	29.707922
1805A	西园	九江	115.988	29.7292	115.99961	29.732354
1806A	五七二七厂	九江	116.0174	29.6535	116.028998	29.657216
1807A	水科所	九江	116.0628	29.6926	116.074548	29.696254
1808A	综合工业园	九江	115.9114	29.6039	115.92271	29.607487
1809A	石化总厂	九江	116.0726	29.7534	116.08439	29.756898
1810A	庐山气象台	九江	115.9936	29.5867	116.005211	29.589914
1811A	中信二小	洛阳	112.3628	34.6692	112.375673	34.673962
1812A	市委党校	洛阳	112.3939	34.6511	112.40676	34.655992
1813A	市监测站	洛阳	112.4333	34.67	112.445992	34.675394
1814A	豫西宾馆	洛阳	112.4664	34.6869	112.479147	34.691865
1815A	河南林校	洛阳	112.4831	34.6869	112.495867	34.69158
1816A	开发区管委会	洛阳	112.3844	34.6231	112.397306	34.627846
1817A	市委新办公区	洛阳	112.4275	34.6258	112.440207	34.631146
1818A	棉研所	安阳	114.483	36.061	114.495291	36.067346
1819A	红庙街	安阳	114.32	36.086	114.332509	36.091993
1820A	银杏小区	安阳	114.358	36.087	114.370444	36.093469
1821A	环保局	安阳	114.3931	36.0883	114.405725	36.094311
1822A	铁佛寺	安阳	114.286	36.11	114.298551	36.115704
1823A	河大一附院	开封	114.3406	34.8022	114.352927	34.80764
1824A	肿瘤医院	开封	114.3389	34.7781	114.351208	34.783485
1825A	妇幼保健院	开封	114.3733	34.7975	114.385689	34.802907
1826A	世纪星幼儿园	开封	114.2886	34.7967	114.301021	34.801451
1827A	市监测站　	焦作	113.261	35.235	113.273779	35.240778
1828A	市环保局　	焦作	113.227	35.213	113.239966	35.21824
1829A	高新区政府	焦作	113.2464	35.1764	113.259264	35.181904
1830A	影视城	焦作	113.1992	35.259	113.212181	35.264326
1831A	高压开关厂	平顶山	113.3064	33.7214	113.319195	33.725909
1832A	新华旅馆	平顶山	113.322	33.721	113.334898	33.725307
1833A	规划设计院	平顶山	113.292	33.739	113.304712	33.743739
1834A	平顶山工学院	平顶山	113.182	33.737	113.194797	33.741614
1835A	市政府	三门峡	111.1928	34.7772	111.205348	34.782044
1836A	开发区	三门峡	111.158	34.794	111.170621	34.798889
1837A	二  印	三门峡	111.1858	34.7917	111.198395	34.796486
1838A	风景区	三门峡	111.1489	34.7997	111.161495	34.80475
1839A	四零三	宜昌	111.3009	30.7157	111.313181	30.718982
1840A	白龙岗	宜昌	111.2992	30.698	111.311466	30.701258
1841A	伍家岗	宜昌	111.3549	30.6463	111.367167	30.650302
1842A	点军区	宜昌	111.268	30.696	111.280129	30.69948
1843A	夷陵区	宜昌	111.3296	30.7819	111.341862	30.785677
1844A	市图书馆	荆州	112.2551	30.3175	112.267387	30.320604
1845A	市委党校	荆州	112.2068	30.3515	112.218975	30.355244
1846A	科融环保	荆州	112.2887	30.3055	112.300911	30.309046
1847A	南湖风景区	岳阳	113.1094	29.3578	113.121931	29.361027
1848A	城陵矶	岳阳	113.1493	29.4251	113.161678	29.428891
1849A	开发区	岳阳	113.1772	29.3678	113.189538	29.37129
1850A	云溪区	岳阳	113.2621	29.4758	113.274333	29.479422
1851A	君山区	岳阳	112.9943	29.4402	113.006591	29.443346
1852A	金凤水库	岳阳	113.2117	29.355	113.224103	29.35797
1853A	市监测站	常德	111.7044	29.0244	111.716434	29.027669
1854A	市二中	常德	111.6975	28.9703	111.709565	28.973444
1855A	鼎城区环保局	常德	111.6753	29.0239	111.687387	29.026672
1856A	市技术监督局	常德	111.6794	29.0381	111.691492	29.040962
1857A	白鹤山	常德	111.7158	29.1456	111.727851	29.149025
1858A	永定新区	张家界	110.48	29.1389	110.491451	29.141963
1859A	电业局	张家界	110.4697	29.1242	110.481219	29.127128
1860A	未央路	张家界	110.5594	29.3547	110.57071	29.357568
1861A	袁家界	张家界	110.4417	29.315	110.453334	29.318122
1862A	电子科大尧山校区	桂林	110.4144	25.3167	110.425647	25.320196
1863A	监测站	桂林	110.2819	25.2697	110.292898	25.273169
1864A	龙隐路小学	桂林	110.3089	25.2708	110.320032	25.273936
1865A	八中	桂林	110.2869	25.2178	110.297932	25.221241
1866A	牛尾岭水库	北海	109.2256	21.5958	109.23628	21.599227
1867A	海滩公园	北海	109.1436	21.4086	109.154447	21.411902
1868A	新市环保局	北海	109.0981	21.4661	109.108855	21.469854
1869A	北海工业园	北海	109.1778	21.5233	109.188513	21.527012
1870A	柳东小学	柳州	109.4883	24.3898	109.499369	24.39265
1871A	环保监测站	柳州	109.4108	24.3304	109.421874	24.333803
1872A	河西水厂	柳州	109.3886	24.3406	109.399741	24.343654
1873A	市四中	柳州	109.4221	24.299	109.433155	24.302571
1874A	市九中	柳州	109.3957	24.3663	109.40685	24.369448
1875A	古亭山	柳州	109.4839	24.3158	109.494937	24.318713
1876A	河东子站	三亚	109.5078	18.2489	109.518452	18.252947
1877A	河西子站	三亚	109.4964	18.2681	109.507108	18.272115
1878A	富乐山	绵阳	104.7778	31.4747	104.787079	31.478651
1879A	市人大	绵阳	104.7536	31.4539	104.762812	31.458019
1880A	高新区自来水公司	绵阳	104.6717	31.4656	104.680837	31.469249
1881A	三水厂	绵阳	104.7283	31.5072	104.737549	31.511023
1882A	石马中学	宜宾	104.5969	28.8194	104.605765	28.821819
1883A	市委	宜宾	104.6225	28.76611	104.63126	28.768883
1884A	宜宾四中	宜宾	104.6061	28.7867	104.614905	28.789231
1885A	市政府	宜宾	104.6417	28.76389	104.650483	28.766774
1886A	黄金嘴	宜宾	104.5761	28.71583	104.584999	28.718046
1887A	沙坪中学	宜宾	104.6789	28.7989	104.687942	28.801395
1888A	弄弄坪	攀枝花	101.68912	26.57098	101.697237	26.573107
1889A	河门口	攀枝花	101.5769	26.5928	101.584888	26.59477
1890A	炳草岗	攀枝花	101.7169	26.585	101.725021	26.58726
1891A	仁和	攀枝花	101.7453	26.5017	101.753312	26.504401
1893A	九狮山	泸州	105.4306	28.9583	105.440794	28.961124
1894A	小市上码头	泸州	105.4436	28.9026	105.453692	28.905537
1895A	兰田宪桥	泸州	105.4322	28.8558	105.442371	28.858558
1896A	市环监站	泸州	105.4322	28.8833	105.442348	28.886072
1897A	大塘山	自贡	104.7547	29.3628	104.763789	29.36628
1898A	盐马路	自贡	104.7214	29.3586	104.730553	29.361655
1899A	檀木林街	自贡	104.7747	29.3564	104.783836	29.359748
1900A	春华路	自贡	104.7692	29.3411	104.778331	29.34451
1901A	东山公园	德阳	104.4219	31.1208	104.431083	31.124745
1902A	西小区	德阳	104.3883	31.1333	104.397403	31.137444
1903A	市检察院	德阳	104.4053	31.1167	104.414424	31.12085
1904A	耐火材料厂	德阳	104.3539	31.1108	104.36309	31.114413
1905A	西山风景区	南充	106.056	30.8064	106.066406	30.810222
1906A	南充市委	南充	106.0789	30.8023	106.089302	30.806307
1907A	南充炼油厂	南充	106.1031	30.8217	106.113594	30.825459
1908A	高坪区监测站	南充	106.1064	30.7856	106.116921	30.789287
1909A	嘉陵区环保局	南充	106.0642	30.7636	106.074626	30.767523
1910A	市环境监测站	南充	106.1087	30.8388	106.119235	30.842477
1911A	丁字口	遵义	106.9222	27.6869	106.932419	27.689672
1912A	凤凰山	遵义	106.9242	27.7019	106.934427	27.704661
1913A	忠庄	遵义	106.8906	27.6486	106.900878	27.651145
1914A	舟水桥	遵义	106.9231	27.6506	106.93335	27.653379
1915A	干田坝	遵义	106.9178	27.72	106.928024	27.722784
1916A	环境监测站	曲靖	103.7897	25.5035	103.798167	25.50679
1917A	烟厂办公区	曲靖	103.8	25.5364	103.808428	25.539686
1918A	气象站	咸阳	108.7197	34.3956	108.730791	34.400523
1919A	中华小区	咸阳	108.6761	34.3181	108.687241	34.322446
1920A	师范学院	咸阳	108.7233	34.3617	108.73443	34.366598
